Name,Symbol
Agilent Technologies Inc. Common Stock,A
Alcoa Corporation Common Stock ,AA
ATA Creativity Global American Depositary Shares,AACG
Artius Acquisition Inc. Class A Common Stock,AACQ
Artius Acquisition Inc. Unit ,AACQU
Artius Acquisition Inc Warrant,AACQW
Arlington Asset Investment Corp Class A (new),AAIC
Arlington Asset Investment Corp,AAIC.PRB
Arlington Asset Investment Corp,AAIC.PRC
American Airlines Group Inc. Common Stock,AAL
Altisource Asset Management Corp Com,AAMC
Atlantic American Corporation Common Stock,AAME
Aarons Holdings Company Inc. Common Stock ,AAN
Applied Optoelectronics Inc. Common Stock,AAOI
AAON Inc. Common Stock,AAON
Advance Auto Parts Inc Advance Auto Parts Inc W/I,AAP
Apple Inc. Common Stock,AAPL
American Assets Trust Inc. Common Stock,AAT
Almaden Minerals Ltd. Common Shares,AAU
Atlas Air Worldwide Holdings NEW Common Stock,AAWW
Axon Enterprise Inc. Common Stock,AAXN
AllianceBernstein Holding L.P.  Units,AB
ABB Ltd Common Stock,ABB
AbbVie Inc. Common Stock,ABBV
AmerisourceBergen Corporation Common Stock,ABC
Ameris Bancorp Common Stock,ABCB
AbCellera Biologics Inc.,ABCL
Abcam plc American Depositary Shares,ABCM
Abeona Therapeutics Inc. Common Stock,ABEO
Ambev S.A. American Depositary Shares (Each representing 1 Common Share),ABEV
Asbury Automotive Group Inc Common Stock,ABG
ARCA biopharma Inc. Common Stock,ABIO
ABM Industries Incorporated Common Stock,ABM
ABIOMED Inc. Common Stock,ABMD
Airbnb Inc. Class A Common Stock,ABNB
Arbor Realty Trust Common Stock,ABR
Arbor Realty Trust,ABR.PRA
Arbor Realty Trust,ABR.PRB
Arbor Realty Trust,ABR.PRC
Absolute Software Corporation Common Stock,ABST
Abbott Laboratories Common Stock,ABT
Allegiance Bancshares Inc. Common Stock,ABTX
Arbutus Biopharma Corporation Common Stock,ABUS
Associated Capital Group Inc. Common Stock,AC
Arcosa Inc. Common Stock ,ACA
Acies Acquisition Corp.,ACAC
Acies Acquisition Corp. Unit,ACACU
Acies Acquisition Corp.,ACACW
ACADIA Pharmaceuticals Inc. Common Stock,ACAD
Acamar Partners Acquisition Corp. Class A Common Stock,ACAM
Acamar Partners Acquisition Corp. Units,ACAMU
Acamar Partners Acquisition Corp. Warrant,ACAMW
Aurora Cannabis Inc. Common Shares,ACB
Atlantic Capital Bancshares Inc. Common Stock,ACBI
American Campus Communities Inc Common Stock,ACC
Accolade Inc. Common Stock,ACCD
Acco Brands Corporation Common Stock,ACCO
Accelerated Pharma Inc.,ACCP
Accel Entertainment Inc. ,ACEL
Acer Therapeutics Inc. Common Stock (DE),ACER
Adicet Bio Inc. Common Stock ,ACET
ACE Convergence Acquisition Corp. Class A Ordinary Shares,ACEV
ACE Convergence Acquisition Corp. Unit,ACEVU
ACE Convergence Acquisition Corp. Warrant,ACEVW
Arch Capital Group Ltd. Common Stock,ACGL
Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,ACGLO
Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,ACGLP
Aluminum Corporation of China Limited American Depositary Shares,ACH
Acadia Healthcare Company Inc. Common Stock,ACHC
Achieve Life Sciences Inc. Common Shares,ACHV
Albertsons Companies Inc. Class A Common Stock,ACI
Acacia Communications Inc. Common Stock,ACIA
Atlas Crest Investment Corp. Units each consisting of one Class A common stock and one-third of one redeemable warrant,ACIC.U
AC Immune SA Common Stock,ACIU
ACI Worldwide Inc. Common Stock,ACIW
ACell Inc.,ACLL
Axcelis Technologies Inc. Common Stock,ACLS
AECOM Common Stock,ACM
ACM Research Inc. Class A Common Stock,ACMR
Accenture plc Class A Ordinary Shares (Ireland),ACN
ACNB Corporation Common Stock,ACNB
Ascendant Digital Acquisition Corp. Class A Ordinary Shares,ACND
Ascendant Digital Acquisition Corp. Units each consisting of one Class A ordinary share and one-half of one redeemable warrant,ACND.U
Ascendant Digital Acquisition Corp. Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share,ACND.WS
Acorda Therapeutics Inc. Common Stock,ACOR
Aberdeen Income Credit Strategies Fund Common Shares,ACP
Ares Commercial Real Estate Corporation Common Stock,ACRE
Aclaris Therapeutics Inc. Common Stock,ACRS
AcelRx Pharmaceuticals Inc. Common Stock,ACRX
Acasti Pharma Inc. Class A Common Stock,ACST
ArcLight Clean Transition Corp. Class A Ordinary Shares,ACTC
ArcLight Clean Transition Corp. Unit,ACTCU
ArcLight Clean Transition Corp. Warrant,ACTCW
Acacia Research Corporation (Acacia Tech) Common Stock,ACTG
Acme United Corporation. Common Stock,ACU
AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,ACV
AeroCentury Corp. Common Stock,ACY
Adaptimmune Therapeutics plc American Depositary Shares,ADAP
Adobe Inc. Common Stock,ADBE
Agree Realty Corporation Common Stock,ADC
ADC Therapeutics SA Common Shares,ADCT
Advanced Emissions Solutions Inc. Common Stock,ADES
Anfield Dynamic Fixed Income ETF,ADFI
Analog Devices Inc. Common Stock,ADI
Adial Pharmaceuticals Inc Common Stock,ADIL
Adial Pharmaceuticals Inc Warrant,ADILW
Archer-Daniels-Midland Company Common Stock,ADM
ADMA Biologics Inc Common Stock,ADMA
Aptus Drawdown Managed Equity ETF,ADME
Adamis Pharmaceuticals Corporation Common Stock,ADMP
Adamas Pharmaceuticals Inc. Common Stock,ADMS
Adient plc Ordinary Shares ,ADNT
Edoc Acquisition Corp. Class A Ordinary Share,ADOC
Edoc Acquisition Corp. Right,ADOCR
Edoc Acquisition Corp. Warrant,ADOCW
Automatic Data Processing Inc. Common Stock,ADP
Adaptive Biotechnologies Corporation Common Stock,ADPT
Alliance Data Systems Corporation Common Stock,ADS
Autodesk Inc. Common Stock,ADSK
ADT Inc. Common Stock,ADT
ADTRAN Inc. Common Stock,ADTN
ADiTx Therapeutics Inc. Common Stock,ADTX
Addus HomeCare Corporation Common Stock,ADUS
Advantage Solutions Inc. Class A Common Stock,ADV
Adverum Biotechnologies Inc. Common Stock,ADVM
Advantage Solutions Inc. Warrant,ADVWW
Adams Diversified Equity Fund Inc.,ADX
Addex Therapeutics Ltd American Depositary Shares,ADXN
Advaxis Inc. Common Stock,ADXS
Adams Resources & Energy Inc. Common Stock,AE
AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),AEB
Ameren Corporation Common Stock,AEE
Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,AEF
Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC
AEGON N.V. Common Stock,AEG
Aegion Corp Common Stock,AEGN
Antelope Enterprise Holdings Limited Common Stock (0.024 par),AEHL
Aehr Test Systems Common Stock,AEHR
Advanced Energy Industries Inc. Common Stock,AEIS
American Equity Investment Life Holding Company Common Stock,AEL
American Equity Investment Life Holding Company,AEL.PRA
American Equity Investment Life Holding Company,AEL.PRB
Agnico Eagle Mines Limited Common Stock,AEM
Aethlon Medical Inc. Common Stock,AEMD
Aenza S.A.A. American Depositary Shares,AENZ
American Eagle Outfitters Inc. Common Stock,AEO
American Electric Power Company Inc. Common Stock,AEP
American Electric Power Company Inc. Corporate Unit,AEPPL
American Electric Power Company Inc. Corporate Units,AEPPZ
AerCap Holdings N.V. Ordinary Shares,AER
Aerie Pharmaceuticals Inc. Common Stock,AERI
The AES Corporation Common Stock,AES
Allied Esports Entertainment Inc. Common Stock,AESE
Anfield U.S. Equity Sector Rotation ETF,AESR
ADDvantage Technologies Group Inc. Common Stock,AEY
AudioEye Inc. Common Stock,AEYE
Aeterna Zentaris Inc. Common Stock,AEZS
AllianceBernstein National Municipal Income Fund Inc,AFB
Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15 2047,AFC
American Financial Group Inc. Common Stock,AFG
American Financial Group Inc. 5.875% Subordinated Debentures due 2059,AFGB
American Financial Group Inc. 5.125% Subordinated Debentures due 2059,AFGC
American Financial Group Inc. 5.625% Subordinated Debentures due 2060,AFGD
American Financial Group Inc. 4.500% Subordinated Debentures due 2060,AFGE
Armstrong Flooring Inc. Common Stock,AFI
Acutus Medical Inc. Common Stock,AFIB
American Finance Trust Inc. Class A Common Stock,AFIN
American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,AFINP
AFLAC Incorporated Common Stock,AFL
Affimed N.V.,AFMD
Apollo Senior Floating Rate Fund Inc. Common Stock,AFT
Afya Limited Class A Common Shares,AFYA
First Majestic Silver Corp. Ordinary Shares (Canada),AG
AGBA Acquisition Limited Ordinary Share,AGBA
